iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;19:56:33;19:56:33;19:56:33;;;19:56:33;19:56:33;19:56:33;19:56:33;19:56:33;19:56:33;19:56:33;19:56:38;19:56:38;19:56:38;19:56:38;19:56:38;19:56:38;19:56:40;19:56:40;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:04;00:00:00;00:00:00;00:00:01;00:00:07
1;19:56:40;19:56:40;19:56:40;19:56:40;19:56:40;19:56:40;19:56:40;19:56:40;19:56:40;19:56:40;19:56:40;19:56:40;19:56:44;19:56:44;19:56:45;19:56:45;19:56:45;19:56:45;19:56:46;19:56:46;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:04;00:00:00;00:00:00;00:00:01;00:00:05
2;19:56:46;19:56:46;19:56:46;19:56:46;19:56:46;19:56:46;;;19:56:46;19:56:46;19:56:46;19:56:46;19:56:49;19:56:49;19:56:49;19:56:49;19:56:49;19:56:49;19:56:50;19:56:50;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:04
3;19:56:50;19:56:50;19:56:50;19:56:50;19:56:50;19:56:50;;;19:56:50;19:56:50;19:56:50;19:56:50;19:56:54;19:56:54;19:56:54;19:56:54;19:56:54;19:56:54;19:56:55;19:56:55;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:04;00:00:00;00:00:00;00:00:00;00:00:04
4;19:56:55;19:56:55;19:56:55;19:56:55;19:56:55;19:56:55;;;19:56:55;19:56:55;19:56:55;19:56:55;19:56:59;19:56:59;19:56:59;19:56:59;19:56:59;19:56:59;19:56:59;19:56:59;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:04
5;19:56:59;19:56:59;19:56:59;19:56:59;19:56:59;19:56:59;;;19:56:59;19:56:59;19:56:59;19:56:59;19:57:02;19:57:02;19:57:02;19:57:02;19:57:02;19:57:02;19:57:03;19:57:03;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
6;19:57:03;19:57:03;19:57:03;19:57:03;19:57:03;19:57:03;;;19:57:03;19:57:03;19:57:03;19:57:03;19:57:07;19:57:07;19:57:07;19:57:07;19:57:07;19:57:07;19:57:08;19:57:08;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:04
7;19:57:08;19:57:08;19:57:08;19:57:08;19:57:08;19:57:08;;;19:57:08;19:57:08;19:57:08;19:57:08;19:57:12;19:57:12;19:57:12;19:57:12;19:57:12;19:57:12;19:57:13;19:57:13;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:04
8;19:57:13;19:57:13;19:57:13;19:57:13;19:57:13;19:57:13;;;19:57:13;19:57:13;19:57:13;19:57:13;19:57:17;19:57:17;19:57:17;19:57:17;19:57:17;19:57:17;19:57:18;19:57:18;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:04;00:00:00;00:00:00;00:00:00;00:00:04
9;19:57:18;19:57:18;19:57:18;19:57:18;19:57:18;19:57:18;;;19:57:18;19:57:18;19:57:18;19:57:18;19:57:22;19:57:22;19:57:22;19:57:22;19:57:22;19:57:22;19:57:22;19:57:22;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:04
10;19:57:22;19:57:22;19:57:22;19:57:22;19:57:22;19:57:22;;;19:57:22;19:57:22;19:57:22;19:57:22;19:57:26;19:57:26;19:57:26;19:57:26;19:57:26;19:57:26;19:57:27;19:57:27;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:04
